date,margin_ratio_pct
2016-02-22,152.174051
2016-02-23,152.533824
2016-02-24,151.478134
2016-02-25,151.977748
2016-02-26,152.846927
2016-03-01,154.224545
2016-03-02,155.428397
2016-03-03,155.406400
2016-03-04,157.272172
2016-03-07,157.173595
2016-03-08,157.235855
2016-03-09,156.962630
2016-03-10,157.435996
2016-03-11,157.847756
2016-03-14,159.612636
2016-03-15,154.332609
2016-03-16,157.404117
2016-03-17,156.086145
2016-03-18,157.026622
2016-03-21,157.526432
2016-03-22,155.982630
2016-03-23,154.802743
2016-03-24,154.088798
2016-03-25,153.477310
2016-03-28,151.991118
2016-03-29,149.659931
2016-03-30,146.464413
2016-03-31,151.821374
2016-04-01,150.888771
2016-04-06,150.404891
2016-04-07,149.351827
2016-04-08,149.635490
2016-04-11,149.627529
2016-04-12,146.932540
2016-04-13,149.238181
2016-04-14,149.365270
2016-04-15,149.225328
2016-04-18,148.765599
2016-04-19,148.141474
2016-04-20,146.586491
2016-04-21,147.402449
2016-04-22,146.041903
2016-04-25,146.422631
2016-04-26,147.269242
2016-04-27,146.941812
2016-04-28,145.648255
2016-04-29,144.284147
2016-05-03,143.261618
2016-05-04,141.569793
2016-05-05,141.878963
2016-05-06,141.340701
2016-05-09,140.403293
2016-05-10,141.546568
2016-05-11,140.816415
2016-05-12,139.065280
2016-05-13,135.737761
2016-05-16,139.903876
2016-05-17,141.746896
2016-05-18,141.659957
2016-05-19,141.020801
2016-05-20,141.839043
2016-05-23,145.797428
2016-05-24,145.423959
2016-05-25,146.777190
2016-05-26,146.325548
2016-05-27,148.117051
2016-05-30,149.461295
2016-05-31,150.031393
2016-06-01,150.496695
2016-06-02,148.409740
2016-06-03,148.364914
2016-06-04,149.131951
2016-06-06,148.280676
2016-06-07,148.494145
2016-06-08,148.392866
2016-06-13,145.761690
2016-06-14,146.624528
2016-06-15,146.973011
2016-06-16,145.359222
2016-06-17,146.127867
2016-06-20,147.389718
2016-06-21,148.150737
2016-06-22,148.598188
2016-06-23,147.941337
2016-06-24,144.054584
2016-06-27,145.821368
2016-06-28,147.153910
2016-06-29,148.269315
2016-06-30,149.097482
