date,open,high,low,close,volume
2025-01-07,255.31,256.88,255.31,256.88,0.0
2025-01-08,256.88,256.88,256.08,256.08,0.0
2025-01-09,256.08,256.08,250.81,250.81,0.0
2025-01-10,250.80999999999997,250.80999999999997,250.14,250.14,0.0
2025-01-13,250.14,250.14,242.35,242.35,0.0
2025-01-14,242.35,245.5,242.35,245.5,0.0
2025-01-15,245.5,245.5,244.74,244.74,0.0
2025-01-16,244.73999999999998,249.57,244.73999999999998,249.57,0.0
2025-01-17,249.57000000000002,249.57000000000002,248.05,248.05,0.0
2025-01-20,248.05,251.55,248.05,251.55,0.0
2025-01-21,251.54999999999998,251.54999999999998,251.04,251.04,0.0
2025-01-22,251.04,252.95,251.04,252.95,0.0
2025-02-03,252.95,252.95,246.17,246.17,0.0
2025-02-04,246.17,246.17,246.04,246.04,0.0
2025-02-05,246.04,250.25,246.04,250.25,0.0
2025-02-06,250.25,252.48,250.25,252.48,0.0
2025-02-07,252.48,255.54,252.48,255.54,0.0
2025-02-10,255.54,255.54,253.57,253.57,0.0
2025-02-11,253.57,254.01,253.57,254.01,0.0
2025-02-12,254.01,254.01,253.12,253.12,0.0
2025-02-13,253.12,255.08,253.12,255.08,0.0
2025-02-14,255.08,255.08,254.81,254.81,0.0
2025-02-17,254.81,257.63,254.81,257.63,0.0
2025-02-18,257.63,260.75,257.63,260.75,0.0
2025-02-19,260.75,261.66,260.75,261.66,0.0
2025-02-20,261.65999999999997,261.65999999999997,261.64,261.64,0.0
2025-02-21,261.64,263.43,261.64,263.43,0.0
2025-02-24,263.42999999999995,264.03,263.42999999999995,264.03,0.0
2025-02-25,264.03,264.03,262.51,262.51,0.0
2025-02-26,262.51000000000005,262.51000000000005,262.22,262.22,0.0
2025-02-27,262.22,262.22,259.92,259.92,0.0
2025-03-03,259.92,259.92,256.01,256.01,0.0
2025-03-04,256.01,256.89,256.01,256.89,0.0
2025-03-05,256.89,259.99,256.89,259.99,0.0
2025-03-06,259.99,260.31,259.99,260.31,0.0
2025-03-07,260.31,260.31,257.23,257.23,0.0
2025-03-10,257.23,257.23,255.29,255.29,0.0
2025-03-11,255.29000000000002,255.29000000000002,251.52,251.52,0.0
2025-03-12,251.52,252.11,251.52,252.11,0.0
2025-03-13,252.11,252.11,249.3,249.3,0.0
2025-03-14,249.3,249.96,249.3,249.96,0.0
2025-03-17,249.96,250.78,249.96,250.78,0.0
2025-03-18,250.78,253.3,250.78,253.3,0.0
2025-03-19,253.3,253.3,250.62,250.62,0.0
2025-03-20,250.61999999999998,254.45,250.61999999999998,254.45,0.0
2025-03-21,254.45,254.45,253.89,253.89,0.0
2025-03-24,253.89,253.89,251.22,251.22,0.0
2025-03-25,251.22,251.54,251.22,251.54,0.0
2025-03-26,251.54000000000002,252.11,251.54000000000002,252.11,0.0
2025-03-27,252.11,252.11,248.71,248.71,0.0
2025-03-28,248.71,248.71,242.96,242.96,0.0
2025-03-31,242.96,242.96,230.4,230.4,0.0
2025-04-01,230.4,235.78,230.4,235.78,0.0
2025-04-02,235.78,237.38,235.78,237.38,0.0
2025-04-07,237.38,237.38,214.38,214.38,0.0
2025-04-08,214.38,214.38,200.03,200.03,0.0
2025-04-09,200.02999999999997,200.02999999999997,185.14,185.14,0.0
2025-04-10,185.14,202.06,185.14,202.06,0.0
2025-04-11,202.06,204.94,202.06,204.94,0.0
2025-04-14,204.94000000000003,208.61,204.94000000000003,208.61,0.0
2025-04-15,208.60999999999999,216.48,208.60999999999999,216.48,0.0
2025-04-16,216.48000000000002,216.48000000000002,212.87,212.87,0.0
2025-04-17,212.87,212.87,212.08,212.08,0.0
2025-04-18,212.07999999999998,212.13,212.07999999999998,212.13,0.0
2025-04-21,212.13,212.13,206.22,206.22,0.0
2025-04-22,206.22,206.22,203.68,203.68,0.0
2025-04-23,203.68,211.5,203.68,211.5,0.0
2025-04-24,211.5,212.75,211.5,212.75,0.0
2025-04-25,212.75,216.92,212.75,216.92,0.0
2025-04-28,216.92,219.41,216.92,219.41,0.0
2025-04-29,219.41,222.51,219.41,222.51,0.0
2025-04-30,222.51,222.51,219.98,219.98,0.0
2025-05-02,219.98,223.89,219.98,223.89,0.0
2025-05-05,223.89,223.89,219.39,219.39,0.0
2025-05-06,219.39,221.42,219.39,221.42,0.0
2025-05-07,221.42000000000002,221.42000000000002,219.55,219.55,0.0
2025-05-08,219.55,222.69,219.55,222.69,0.0
2025-05-09,222.69,223.55,222.69,223.55,0.0
2025-05-12,223.55,226.06,223.55,226.06,0.0
2025-05-13,226.06,228.18,226.06,228.18,0.0
2025-05-14,228.18,231.47,228.18,231.47,0.0
2025-05-15,231.47,231.47,230.13,230.13,0.0
2025-05-16,230.13,230.92,230.13,230.92,0.0
2025-05-19,230.92000000000002,230.92000000000002,227.08,227.08,0.0
2025-05-20,227.08,227.74,227.08,227.74,0.0
2025-05-21,227.73999999999998,230.26,227.73999999999998,230.26,0.0
2025-05-22,230.26,230.26,228.98,228.98,0.0
2025-05-23,228.98,228.98,228.79,228.79,0.0
2025-05-26,228.79,228.79,227.67,227.67,0.0
2025-05-27,227.67,227.67,226.26,226.26,0.0
2025-05-28,226.26,226.26,225.84,225.84,0.0
2025-05-29,225.84,227.27,225.84,227.27,0.0
2025-06-02,227.26999999999998,227.26999999999998,222.04,222.04,0.0
2025-06-03,222.04,222.5,222.04,222.5,0.0
2025-06-04,222.5,226.24,222.5,226.24,0.0
2025-06-05,226.23999999999998,227.23,226.23999999999998,227.23,0.0
2025-06-06,227.23,227.31,227.23,227.31,0.0
2025-06-09,227.31,227.9,227.31,227.9,0.0
2025-06-10,227.9,230.82,227.9,230.82,0.0
2025-06-11,230.82,234.01,230.82,234.01,0.0
2025-06-12,234.01000000000002,234.77,234.01000000000002,234.77,0.0
2025-06-13,234.77,234.77,231.18,231.18,0.0
2025-06-16,231.17999999999998,231.2,231.17999999999998,231.2,0.0
2025-06-17,231.20000000000002,231.20000000000002,231.15,231.15,0.0
2025-06-18,231.15,231.79,231.15,231.79,0.0
2025-06-19,231.79,231.79,228.56,228.56,0.0
2025-06-20,228.56,228.56,226.55,226.55,0.0
2025-06-23,226.55,226.55,226.34,226.34,0.0
2025-06-24,226.34,231.31,226.34,231.31,0.0
2025-06-25,231.30999999999997,233.17,231.30999999999997,233.17,0.0
2025-06-26,233.17,233.22,233.17,233.22,0.0
2025-06-27,233.22,233.63,233.22,233.63,0.0
2025-06-30,233.63,233.63,231.35,231.35,0.0
2025-07-01,231.35,232.21,231.35,232.21,0.0
2025-07-02,232.20999999999998,232.92,232.20999999999998,232.92,0.0
2025-07-03,232.92,234.6,232.92,234.6,0.0
2025-07-04,234.60000000000002,234.60000000000002,231.61,231.61,0.0
2025-07-07,231.60999999999999,231.60999999999999,228.94,228.94,0.0
2025-07-08,228.94,228.94,228.22,228.22,0.0
2025-07-09,228.22,230.79,228.22,230.79,0.0
2025-07-10,230.79000000000002,231.02,230.79000000000002,231.02,0.0
2025-07-11,231.02,232.49,231.02,232.49,0.0
2025-07-14,232.49,232.49,230.59,230.59,0.0
2025-07-15,230.59,232.32,230.59,232.32,0.0
2025-07-16,232.32000000000002,232.86,232.32000000000002,232.86,0.0
2025-07-17,232.85999999999999,235.66,232.85999999999999,235.66,0.0
2025-07-18,235.66,235.66,235.29,235.29,0.0
2025-07-21,235.29,235.29,234.59,234.59,0.0
2025-07-22,234.59,234.59,228.76,228.76,0.0
2025-07-23,228.76,232.16,228.76,232.16,0.0
2025-07-24,232.16,232.93,232.16,232.93,0.0
2025-07-25,232.93,232.93,232.77,232.77,0.0
2025-07-28,232.76999999999998,233.45,232.76999999999998,233.45,0.0
2025-07-29,233.45,233.45,231.16,231.16,0.0
2025-07-30,231.16,231.45,231.16,231.45,0.0
2025-07-31,231.45,232.0,231.45,232.0,0.0
2025-08-01,232.0,234.03,232.0,234.03,0.0
2025-08-04,234.03,234.03,233.87,233.87,0.0
2025-08-05,233.87,237.03,233.87,237.03,0.0
2025-08-06,237.03,237.03,236.05,236.05,0.0
2025-08-07,236.04999999999998,239.54,236.04999999999998,239.54,0.0
2025-08-08,239.54,239.79,239.54,239.79,0.0
2025-08-11,239.79,240.2,239.79,240.2,0.0
2025-08-12,240.20000000000002,242.36,240.20000000000002,242.36,0.0
2025-08-13,242.36,243.33,242.36,243.33,0.0
2025-08-14,243.33,245.53,243.33,245.53,0.0
2025-08-15,245.53,246.07,245.53,246.07,0.0
